source_level,source_subtype,source_official,source_gad_status,mimu_pcode,parent_pcode,coremap_id,candidate_coremap_ids,current_name,target_name_en,target_name_my,current_parent_id,current_parent_name,target_parent_id,target_parent_name,match_method,geometry_overlap_evidence,proposed_geometry_source,proposed_action,confidence_score,review_reason,core_geom_md5_before
ward_village_tract,ward,True,Active,MMR006009701501,MMR006009,,,,Shwe Hin Thar Ward,ရွှေဟင်္သာရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155987:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155987,
ward_village_tract,ward,True,Active,MMR006009701502,MMR006009,,,,Ah Nan War Ward,အဏ္ဏဝါရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155991:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155991,
ward_village_tract,ward,True,Active,MMR006009701503,MMR006009,,,,Pi Tauk Shwe War Ward,ပိတောက်ရွှေဝါရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155989:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155989,
ward_village_tract,ward,True,Active,MMR006009701504,MMR006009,,,,Ba Yint Naung Ward,ဘုရင့်နောင်ရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155993:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155993,
ward_village_tract,ward,True,Active,MMR006009701505,MMR006009,,,,Aung Thu Kha Ward,အောင်သုခရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155995:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155995,
ward_village_tract,ward,True,Active,MMR006009701506,MMR006009,,,,Aye Mya Kan Thar Ward,အေးမြကန်သာရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155997:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155997,
ward_village_tract,ward,True,Active,MMR006009701507,MMR006009,,,,Thi Ri Myaing Ward,သီရိမြိုင်ရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155999:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155999,
ward_village_tract,ward,True,Active,MMR006009701508,MMR006009,,,,Shwe Zin Yaw Ward,ရွှေဇင်ယော်ရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39155985:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39155985,
ward_village_tract,ward,True,Active,MMR006009701509,MMR006009,,,,Aye Yeik Nyein Ward,အေးရိပ်ငြိမ်ရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39156001:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39156001,
ward_village_tract,ward,True,Active,MMR006009701510,MMR006009,,,,Shwe Pyi Thar Ward,ရွှေပြည်သာရပ်ကွက်,,,,,osm_pcode_exact_polygon,exact_pcode_osm_polygon;a39156003:MultiPolygon,osm_odbl,create_missing,100,No CoreMap match; exact MIMU PCode exists on OSM polygon a39156003,
